id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1669943,4287537.0,43.0,120,2171810.0,30
w0!1669933,4281524.0,43.0,180,1577823.0,39
w0!1669936,4281538.0,43.0,180,1577809.0,39
w0!1669932,4281436.0,0.0,7200,36391.0,20
 
Fila Jobs n:,104,Size:,3,Current time:,4287856.4
w0!1669933,4281524.0,43.0,180,1577852.0,39
w0!1669936,4281538.0,43.0,180,1577838.0,39
w0!1669932,4281436.0,0.0,7200,36420.0,20
 
Fila Jobs n:,105,Size:,2,Current time:,4288036.4
w0!1669936,4281538.0,43.0,180,1578018.0,39
w0!1669932,4281436.0,0.0,7200,36600.0,20
 
Fila Jobs n:,106,Size:,2,Current time:,4352201.0
w0!1670162,4352197.0,43.0,1200,551524.0,28
w0!1670163,4352201.0,43.0,1200,551520.0,2
 
Fila Jobs n:,107,Size:,3,Current time:,4352206.0
w0!1670162,4352197.0,43.0,1200,551529.0,28
w0!1670163,4352201.0,43.0,1200,551525.0,2
w0!1670164,4352206.0,43.0,1200,551520.0,28
 
Fila Jobs n:,108,Size:,3,Current time:,4352623.2
w0!1670162,4352197.0,43.0,1200,551946.0,28
w0!1670163,4352201.0,43.0,1200,551942.0,2
w0!1670164,4352206.0,43.0,1200,551937.0,28
 
Fila Jobs n:,109,Size:,2,Current time:,4352987.0
w0!1670164,4352206.0,43.0,1200,552301.0,28
w0!1670170,4352987.0,43.0,1200,551520.0,28
 
Fila Jobs n:,110,Size:,3,Current time:,4352992.0
w0!1670164,4352206.0,43.0,1200,552306.0,28
w0!1670170,4352987.0,43.0,1200,551525.0,28
w0!1670171,4352992.0,43.0,1200,551520.0,28
 
Fila Jobs n:,111,Size:,3,Current time:,4353823.2
